Monat/Jahr; Geschäftsklima_index_saison_bereinigt;Geschäftslage_index_saison_bereinigt;Geschäftserwartungen_index_saison_bereinigt; Geschäftsklima_salden_saison_bereinigt;Geschäftslage_salden_saison_bereinigt;Geschäftserwartungen_salden_saison_bereinigt;ifo_geschäftsunsicherheit;wahrscheinlichkeit_expansive_entwicklung
 07/2018;101,7;106,0;97,5;22,2;41,4;4,5;;21,4
 08/2018;103,8;107,0;100,7;26,8;43,7;11,1;;93,3
 09/2018;103,8;107,2;100,5;26,8;44,3;10,7;;85,0
 10/2018;102,9;106,2;99,6;24,9;42,1;8,9;;52,8
 11/2018;102,3;106,2;98,6;23,6;41,9;6,8;;23,5
 12/2018;101,1;105,2;97,2;21,1;39,8;3,8;;8,7
 01/2019;99,5;104,9;94,4;17,4;39,0;-2,1;;1,2
 02/2019;98,7;103,7;93,9;15,7;36,3;-3,1;;4,0
 03/2019;99,9;104,1;95,8;18,3;37,3;0,8;;43,5
 04/2019;100,7;104,4;97,0;20,0;37,9;3,5;52,6;29,7
 05/2019;98,3;101,4;95,3;14,9;31,0;-0,1;52,5;6,9
 06/2019;96,8;101,2;92,7;11,6;30,5;-5,7;53,3;8,6
 07/2019;95,5;100,0;91,2;8,8;27,9;-8,8;54,4;1,3
 08/2019;94,2;97,3;91,1;5,8;21,8;-9,0;55,0;1,3
 09/2019;94,8;98,8;91,0;7,2;25,2;-9,3;55,7;18,3
 10/2019;95,0;97,9;92,1;7,6;23,1;-6,9;56,2;27,1
 11/2019;95,3;98,3;92,5;8,3;23,9;-6,1;56,0;46,7
 12/2019;96,5;99,1;93,9;10,8;25,7;-3,1;55,9;89,1
 01/2020;96,0;99,6;92,5;9,8;27,0;-6,1;55,1;74,8
 02/2020;95,9;99,0;93,0;9,7;25,6;-5,1;55,3;77,7
 03/2020;86,2;92,9;80,0;-11,5;11,7;-32,2;65,0;0,7
 04/2020;75,0;79,3;71,0;-36,0;-19,4;-51,1;74,2;0,0
 05/2020;79,5;78,6;80,5;-26,2;-21,0;-31,2;70,9;92,8
 06/2020;85,4;80,9;90,1;-13,4;-15,7;-11,1;67,9;86,1
 07/2020;89,4;84,3;94,9;-4,5;-7,9;-1,0;66,2;99,9
 08/2020;92,1;87,7;96,8;1,3;-0,2;2,9;65,5;99,2
 09/2020;93,5;89,5;97,7;4,4;3,9;4,8;64,1;96,4
 10/2020;93,0;90,5;95,5;3,2;6,2;0,3;64,4;80,8
 11/2020;91,7;90,3;93,0;0,3;5,8;-5,0;66,0;26,5
 12/2020;93,1;91,8;94,5;3,5;9,1;-1,9;65,4;63,7
 01/2021;90,6;89,6;91,5;-2,0;4,2;-8,1;66,1;11,6
 02/2021;92,7;91,1;94,4;2,6;7,5;-2,1;65,4;70,0
 03/2021;96,1;93,3;99,0;10,1;12,7;7,6;64,2;99,1
 04/2021;96,0;94,2;97,8;9,8;14,7;5,1;64,5;91,8
 05/2021;98,3;95,7;100,9;14,8;18,0;11,6;62,0;98,8
 06/2021;101,0;99,8;102,2;20,8;27,3;14,4;59,9;99,2
 07/2021;100,8;100,6;101,0;20,3;29,1;11,8;60,9;75,9
 08/2021;100,2;101,7;98,7;18,9;31,7;6,9;61,1;33,9
 09/2021;100,1;100,9;99,2;18,7;30,0;8,0;61,5;16,6
 10/2021;98,8;100,6;97,1;16,0;29,2;3,6;60,5;6,0
 11/2021;97,2;99,5;95,0;12,5;26,7;-0,8;62,8;3,4
 12/2021;95,2;97,3;93,1;8,1;21,8;-4,7;62,7;1,3
 01/2022;96,0;96,7;95,4;9,9;20,2;0,0;62,7;20,1
 02/2022;98,6;99,0;98,1;15,4;25,6;5,7;61,7;89,0
 03/2022;89,9;97,2;83,2;-3,5;21,5;-25,6;69,2;1,2
 04/2022;91,2;97,4;85,5;-0,6;21,9;-20,7;67,9;20,0
 05/2022;92,3;99,6;85,6;1,8;26,9;-20,5;66,6;55,2
 06/2022;92,1;99,4;85,4;1,4;26,5;-21,0;65,4;35,0
 07/2022;88,7;97,9;80,4;-6,0;23,1;-31,3;69,0;1,7
 08/2022;89,3;97,7;81,5;-4,9;22,6;-29,0;68,4;8,1
 09/2022;85,7;94,9;77,3;-12,7;16,3;-37,9;70,1;0,3
 10/2022;85,4;94,5;77,2;-13,4;15,2;-38,1;70,2;8,5
 11/2022;86,8;93,4;80,8;-10,2;12,7;-30,7;69,8;52,5
 12/2022;89,1;94,3;84,2;-5,3;14,8;-23,5;68,3;91,2
 01/2023;90,3;94,5;86,3;-2,6;15,2;-19,0;67,2;96,2
 02/2023;91,1;94,2;88,0;-0,9;14,6;-15,4;66,0;95,1
 03/2023;92,6;95,5;89,8;2,4;17,7;-11,8;64,5;98,3
 04/2023;92,9;95,1;90,8;3,1;16,7;-9,7;65,2;92,5
 05/2023;91,0;94,8;87,4;-1,1;15,9;-16,7;65,7;49,4
 06/2023;88,3;93,7;83,3;-6,9;13,4;-25,3;65,2;4,3
 07/2023;87,4;91,3;83,7;-8,9;8,1;-24,5;65,2;3,9
